jobID,cores,memory,CPU time,time,datfile,datdist seed,Npoints,Nwout,model,input_size,hidden_size,output_size,num_layers,Nparams,nT,optimizer,Nepochs,shuffle,LR,final epochs,epoch min VAL,RMSE tra,RMSE val,RMSE tes,RMSE ftes,R tra,R val,R tes,R ftes
34514,8,187.50 MB,00:05:02,00:05:13,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,60,0.0883318816773992,0.1027910879967634,0.1227707266807556,0.0874336957931518,0.968429192549676,0.9651200400330454,0.9375098357433894,0.969961553529782
34515,8,186.61 MB,00:05:02,00:05:05,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1981,0.0835192420705816,0.0986842017747425,0.1221259012818336,0.0841168537735939,0.9722769245443296,0.9665151767172836,0.9382373817880963,0.972469336482944
34516,8,188.66 MB,00:05:05,00:05:07,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1972,0.0830398352457124,0.0988929717163176,0.1184975728392601,0.0841906666755676,0.9723543211193628,0.9664289016890965,0.941933540906683,0.9724333820467016
34517,8,185.42 MB,00:05:00,00:05:03,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1927,0.0803195252979864,0.09668147769943,0.1226263269782066,0.086258478462696,0.974307598079036,0.9679415209106794,0.937653611877039,0.971108421646206
34518,8,190.15 MB,00:05:02,00:05:05,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,215,0.0863249293636573,0.1012989854565753,0.1169290319085121,0.08528783172369,0.9698569581597616,0.9652863559779764,0.9435837066915032,0.971556728609907
34519,8,186.60 MB,00:05:02,00:05:13,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1980,0.0776003233113528,0.0989607909063393,0.1156271547079086,0.0865016356110572,0.9761824664444048,0.9664204317723882,0.9447231061160748,0.9711649599685068
34520,8,185.43 MB,00:05:02,00:05:12,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1967,0.0844491957756136,0.10171327298185,0.1203259453177452,0.0858396738767623,0.9714354301789246,0.9646430911168946,0.9401691879611218,0.9714445245111624
34521,8,190.65 MB,00:05:00,00:05:11,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1970,0.0862709554824486,0.1055164651768453,0.1213903725147247,0.0874394252896308,0.970232448857926,0.961887222530911,0.9388887610725593,0.9704080470934964
34522,8,189.36 MB,00:05:02,00:05:13,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1964,0.0815001192987225,0.0929851153552576,0.1254574209451675,0.0833148807287216,0.97347599463907,0.9702089994200606,0.9347826790626212,0.9730585104964724
34523,8,187.86 MB,00:05:03,00:05:14,data_vdp_mu_2_del_15_ab_100_1000p.dat,1,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1995,0.0845131990193412,0.1028906166862944,0.1201608479022979,0.0857300534844398,0.9711802776761116,0.9637542631632372,0.940408433345026,0.971229624204992
