jobID,cores,memory,CPU time,time,datfile,datdist seed,Npoints,Nwout,model,input_size,hidden_size,output_size,num_layers,Nparams,nT,optimizer,Nepochs,shuffle,LR,final epochs,epoch min VAL,RMSE tra,RMSE val,RMSE tes,RMSE ftes,R tra,R val,R tes,R ftes
34436,8,186.01 MB,00:02:24,00:02:36,data_dectriang_ab_100_1000p.dat,2,1000,5,VanillaRNN,1,3,1,1,22,20,Adam,2000,True,0.001,2000,963,0.0105757351198676,0.013543577390271,0.0074188983999192,0.0087640583515167,0.9989903389841182,0.9964215100076492,0.999093594650502,0.9986829427709968
34443,8,191.37 MB,00:09:33,00:01:22,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1977,0.0123781927931126,0.0187374708193786,0.006486068945378,0.0081825526431202,0.9975977440930276,0.9933182186084124,0.9958243661215336,0.9924327884505838
34444,8,193.18 MB,00:09:43,00:01:25,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1991,0.0117025395044582,0.0189538615199194,0.0068134805187582,0.0084564313292503,0.9978323473049768,0.9933424397493764,0.9959114463943768,0.9924280194396438
34445,8,191.30 MB,00:09:52,00:01:25,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1993,0.013206583966555,0.0200887093721031,0.0057976697571575,0.0076606255024671,0.9971695929611462,0.9920247110897548,0.9956207663813498,0.9922900944170402
34446,8,189.31 MB,00:09:42,00:01:24,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1903,0.0146507731547261,0.0220094069421475,0.006526902783662,0.0083560096099972,0.9966626950216092,0.9900531882243362,0.995302890749438,0.9918557223598676
34447,8,193.25 MB,00:09:36,00:01:23,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1800,0.0158474679640059,0.0223791167254684,0.0120751466602087,0.0137667637318372,0.996184390831674,0.9897407770889592,0.9921705946443504,0.9866310082893514
34448,8,193.23 MB,00:09:33,00:01:23,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,2000,0.0143964888154639,0.0232318285824205,0.009300597012043,0.0111792907118797,0.996880517601404,0.9896791647925096,0.9930263296326892,0.9880290173080374
34449,8,189.93 MB,00:10:09,00:01:27,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1999,0.017989074875428,0.0267049581366865,0.0151784103363752,0.0169765390455722,0.995215071989636,0.986632900714823,0.985922780529458,0.9789610309520368
34450,8,193.26 MB,00:09:33,00:01:23,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1999,0.013555939469047,0.0221698159013161,0.0061284909024834,0.0082129351794719,0.9970174550396615,0.9906159941281923,0.9949354799600892,0.9910403092688698
34451,8,192.00 MB,00:09:37,00:01:23,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1971,0.0128774511776971,0.0204070273776969,0.0066242655739188,0.0084022944793105,0.9974203181701252,0.992111449240907,0.9955185569064436,0.9918974738405874
34452,8,191.26 MB,00:09:36,00:01:23,data_dectriang_ab_100_1000p.dat,2,1000,5,LSTMModel,1,1,1,1,18,20,Adam,2000,True,0.001,2000,1953,0.0145518985995254,0.0229699427534805,0.0069619454443454,0.0089848758652806,0.9965959860012664,0.989302838923113,0.9945784476479952,0.990456786746904
34453,8,189.41 MB,00:05:02,00:05:06,data_dectriang_ab_100_1000p.dat,2,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1947,0.0058299423994647,0.0092234307786808,0.0047198934480547,0.0063966712914407,0.9994858370522828,0.9982766058673278,0.9971762946609086,0.9945925276286072
34454,8,187.44 MB,00:05:01,00:05:05,data_dectriang_ab_100_1000p.dat,2,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1999,0.0101281777068307,0.0172772470783419,0.0053844414651393,0.0072131250053644,0.9983282396244736,0.993883657440136,0.9952375753660904,0.992204210305024
34455,8,185.45 MB,00:05:04,00:05:08,data_dectriang_ab_100_1000p.dat,2,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1998,0.0079140997857885,0.012096302609813,0.0062110810540616,0.007430313155055,0.9990140274884458,0.9970270805380128,0.996108656258514,0.9939827534474132
34456,8,185.44 MB,00:05:04,00:05:08,data_dectriang_ab_100_1000p.dat,2,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,2000,0.0120888354414555,0.0196585850159556,0.0053329640068113,0.0071880747564136,0.9976407796179332,0.9921403982705936,0.9961382157779242,0.9930560229605928
34457,8,185.45 MB,00:05:01,00:05:06,data_dectriang_ab_100_1000p.dat,2,1000,5,GRUModel,1,2,1,1,33,20,Adam,2000,True,0.001,2000,1965,0.0040002772126968,0.0071851761171123,0.002447958337143,0.0033402070403099,0.9997644599835492,0.998953848691958,0.9990733638217276,0.9986663463184372
