jobID,cores,memory,CPU time,time,client,datfile,datdist seed,Npoints,Nwout,model,nT,nE,nM,nL,nx,Nparam,rnd seed,optimizer,Nepochs,grad,shuffle,LR,Nshots,final epochs,epoch min VAL,Ncev/w,Ncev,RMSE tra,RMSE val,RMSE tes,RMSE ftes,normalization,R tra,R val,R tes,R ftes
34713,30,2.43 GB (estimated maximum),14:47:20,05:53:18,"<Client: 'tcp://10.5.7.4:10377' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34713,<pennylane.optimize.adam.AdamOptimizer object at 0x15020251ae30>,2000,False,True,0.001,0,2000,1274,39,2496,0.0406211734567705,0.0651224399658848,0.0621075900146153,0.0556320877365886,1.0,0.973733179160638,0.936794060036975,0.9606492439100348,0.9664859402222769
34714,30,2.33 GB (estimated maximum),14:11:41,04:47:08,"<Client: 'tcp://10.5.7.4:10386' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34714,<pennylane.optimize.adam.AdamOptimizer object at 0x14eaa8892d70>,2000,False,True,0.001,0,2000,1953,39,2496,0.0319432735103448,0.0543986180617842,0.049481677512809,0.047342966631273,1.0,0.983930447642242,0.9565734383248944,0.9744015157920322,0.9749875755876788
34715,30,2.31 GB (estimated maximum),14:08:06,04:47:05,"<Client: 'tcp://10.5.7.6:10395' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34715,<pennylane.optimize.adam.AdamOptimizer object at 0x1489bcd5ad70>,2000,False,True,0.001,0,2000,1966,39,2496,0.0350529040897069,0.0624375069902851,0.0510197609742724,0.0497486288345215,1.0,0.9807048703839852,0.9385017300065748,0.9725266973911446,0.9727330037388364
34716,30,2.35 GB (estimated maximum),14:13:57,04:46:56,"<Client: 'tcp://10.5.7.6:10404' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34716,<pennylane.optimize.adam.AdamOptimizer object at 0x150c76dc2d70>,2000,False,True,0.001,0,2000,1980,39,2496,0.0345628337600819,0.0494658291911455,0.0498598554412245,0.0456554354779215,1.0,0.9805633518551836,0.963140445164227,0.9745636742863872,0.977029296075788
34717,30,2.32 GB (estimated maximum),14:12:07,04:47:48,"<Client: 'tcp://10.5.7.7:10413' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34717,<pennylane.optimize.adam.AdamOptimizer object at 0x149fbaa86d70>,2000,False,True,0.001,0,2000,1989,39,2496,0.0418318722391821,0.0756557814463723,0.081581216536698,0.0654256811934101,1.0,0.9729249516689584,0.9094470133934488,0.9294100650227608,0.9538513672105318
34718,30,2.33 GB (estimated maximum),14:05:35,04:46:18,"<Client: 'tcp://10.5.7.7:10422' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34718,<pennylane.optimize.adam.AdamOptimizer object at 0x14b114e96d70>,2000,False,True,0.001,0,2000,367,39,2496,0.0427323254294554,0.0557330521434914,0.056674509602557,0.0544235644591517,1.0,0.9709976397964428,0.952984670603936,0.9670773730432402,0.9684835748958556
34719,30,2.31 GB (estimated maximum),14:10:58,04:47:07,"<Client: 'tcp://10.5.7.8:10440' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34719,<pennylane.optimize.adam.AdamOptimizer object at 0x149ea4a4ed70>,2000,False,True,0.001,0,2000,1997,39,2496,0.0373093278683904,0.0624907769239523,0.0546141094361835,0.0517117386136113,1.0,0.977557475034132,0.9407166139998544,0.9684802523376672,0.9702626563512652
34720,30,2.32 GB (estimated maximum),14:11:23,04:46:39,"<Client: 'tcp://10.5.7.8:10449' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34720,<pennylane.optimize.adam.AdamOptimizer object at 0x14f2182fad70>,2000,False,True,0.001,0,2000,1262,39,2496,0.0400788998020657,0.0578920883131384,0.0545221662905601,0.0512991754574036,1.0,0.9742357236297666,0.9481704686868933,0.9695343145074844,0.9708778440521082
34721,30,2.37 GB (estimated maximum),14:11:53,04:50:10,"<Client: 'tcp://10.5.7.9:10431' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34721,<pennylane.optimize.adam.AdamOptimizer object at 0x14abd04c2d70>,2000,False,True,0.001,0,2000,868,39,2496,0.0380154846810518,0.0590411189338429,0.0518417961971932,0.0506581597688793,1.0,0.9769881923586212,0.946009303336588,0.970934022682282,0.970995208027781
34722,30,2.35 GB (estimated maximum),14:05:44,04:47:18,"<Client: 'tcp://10.5.7.9:10458' processes=8 threads=8, memory=68.66 GiB>",data_santafe1.dat,4,1980,5,EMCZ2,20,1,2,5,3,38,34722,<pennylane.optimize.adam.AdamOptimizer object at 0x14e4b88c2d70>,2000,False,True,0.001,0,2000,1995,39,2496,0.0455725575780266,0.0682472289995356,0.06599587600702622,0.06026687916233866,1.0,0.9673858587236894,0.9277495712175743,0.9555382473868737,0.9612151363111697
